#{"t_start": 1769443831.972301, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
320.0,2089,6.356241
155.0,2345,7.657422
165.0,1925,8.564908
240.0,2757,9.498441
230.0,2139,10.228855
210.0,2651,11.128092
435.0,3323,12.225549
335.0,2799,13.151567
170.0,2715,14.060971
50.0,1487,14.554523
110.0,2081,15.254215
230.0,2731,16.165161
80.0,2025,16.855994
315.0,3079,17.948437
50.0,1159,18.354542
125.0,1845,19.321611
75.0,1581,20.128617
105.0,1697,20.929807
150.0,1683,21.501474
65.0,1129,21.874546
30.0,1161,22.284872
35.0,1229,22.697578
155.0,2099,23.433402
165.0,2365,24.205139
180.0,2769,25.163614
155.0,2229,25.910851
70.0,1601,26.452407
135.0,1547,26.949866
130.0,1847,27.586677
20.0,1631,28.142072
285.0,4451,29.619287
210.0,2423,30.427283
210.0,2441,31.581438
135.0,1887,32.577815
395.0,2765,33.719331
215.0,2583,34.577019
240.0,2739,35.530411
20.0,1195,35.935683
135.0,1865,36.544273
240.0,2601,37.411355
110.0,1803,38.024383
135.0,1929,38.663991
165.0,2401,39.476099
210.0,2327,40.254912
75.0,1777,40.831355
130.0,2059,41.532328
45.0,1291,41.967857
120.0,1619,42.511386
45.0,1151,48.083146
210.0,2761,49.02279
80.0,1365,49.492448
140.0,1763,50.073827
290.0,3131,51.153735
105.0,1641,51.722323
20.0,1315,52.166083
105.0,2195,52.929048
35.0,1787,53.582065
50.0,1531,54.098547
125.0,2049,54.79842
45.0,1635,55.379033
180.0,2293,56.59015
135.0,2465,57.859404
90.0,1577,58.388893
250.0,2513,59.236403
135.0,1887,59.905778
35.0,1959,60.586179
100.0,1463,61.100045
110.0,2155,62.27275
55.0,1595,62.841368
290.0,2589,63.715722
250.0,2391,64.504754
190.0,2859,65.471259
75.0,1533,65.996275
75.0,1763,66.587047
135.0,1969,67.261878
120.0,1951,68.05594
155.0,3005,69.621731
105.0,2003,70.547364
120.0,1903,71.199648
100.0,1721,71.814772
410.0,4053,73.183346
90.0,1211,73.621924
110.0,1537,74.157351
120.0,2045,74.862798
75.0,1227,75.279468
215.0,2327,76.072257
80.0,1691,76.645256
155.0,2529,77.494688
65.0,1585,78.031495
120.0,1543,78.598089
240.0,2809,79.562395
45.0,1517,80.073177
80.0,1637,80.84409
235.0,2555,82.200459
385.0,2613,83.386156
185.0,1817,84.068396
50.0,1177,84.490682
150.0,2071,85.242158
95.0,1187,85.655529
105.0,2035,91.633678
135.0,1839,92.276384
190.0,1953,92.991719
210.0,2337,94.215667
355.0,2151,95.39271
135.0,1951,96.057024
30.0,1279,96.505796
140.0,3529,97.691035
180.0,2145,98.441874
160.0,2479,99.278239
80.0,1163,99.681955
80.0,1351,100.127633
135.0,2197,100.878137
155.0,2205,101.634842
160.0,2003,102.30263
245.0,3765,103.611089
120.0,2095,104.306491
210.0,2453,105.155438
170.0,2255,106.283082
120.0,2019,107.342027
290.0,3465,108.719624
390.0,4471,110.187869
150.0,1893,110.814663
160.0,2371,111.607686
360.0,2215,112.352285
155.0,2325,113.137074
210.0,2141,113.893444
285.0,4461,115.378909
15.0,1273,115.798356
20.0,1997,116.500638
65.0,1559,117.044587
400.0,4577,118.843168
105.0,1549,119.679864
180.0,2241,120.733633
235.0,2659,121.660066
105.0,1161,122.062977
180.0,2605,122.940986
180.0,2359,123.748454
210.0,2449,124.578039
10.0,1027,124.911835
10.0,1239,125.316603
260.0,2607,126.19474
335.0,2123,126.910353
80.0,1211,127.316206
210.0,2065,128.032806
155.0,1699,128.66354
170.0,2781,135.602608
105.0,1401,136.077112
60.0,1629,136.624649
215.0,2453,137.428993
35.0,1165,137.808274
225.0,2753,138.736862
30.0,1407,139.231667
330.0,3149,140.266989
35.0,1199,140.664031
140.0,2483,141.486129
120.0,1903,142.105325
135.0,2397,142.92693
225.0,4417,145.170918
180.0,2049,145.865432
30.0,1177,146.252045
155.0,1929,146.909318
100.0,1909,147.542642
80.0,1503,148.031244
50.0,1751,148.618522
90.0,1131,148.98633
160.0,1969,149.654069
120.0,1551,150.164631
100.0,1483,150.674556
30.0,1483,151.167139
240.0,3744,152.395945
75.0,1675,152.957788
105.0,1515,153.476033
180.0,1995,154.157043
155.0,1999,154.82074
240.0,2641,155.99511
155.0,2275,157.173984
65.0,1769,157.923757
160.0,2277,158.659024
210.0,2187,159.37117
135.0,1751,159.943846
350.0,2697,160.800104
120.0,2023,161.470618
570.0,3029,162.455577
105.0,1941,163.090567
15.0,1711,163.645221
135.0,2097,164.332587
110.0,1933,164.963531
105.0,2215,165.694288
80.0,1161,166.075565
210.0,2559,166.909118
255.0,2811,167.986429
120.0,1949,168.953331
90.0,1837,169.892245
210.0,2371,170.683271
210.0,2065,179.427108
10.0,2157,181.946562
385.0,5013,186.57926
5.0,1997,188.391216
100.0,1969,190.164164
180.0,2479,192.556174
95.0,2849,195.611282
235.0,3435,198.665134
200.0,3741,201.946768
165.0,3509,205.327099
230.0,3391,208.719418
125.0,1531,210.159148
385.0,2889,212.735256
220.0,3431,215.767817
120.0,1995,217.88739
75.0,1567,219.575358
65.0,1995,221.378518
120.0,1489,222.741198
80.0,2009,224.531335
90.0,1983,226.280455
185.0,3251,229.333597
245.0,3413,232.853132
120.0,4271,236.6493
75.0,1897,238.29994
210.0,4263,242.397165
160.0,1875,244.361989
125.0,2729,246.789747
185.0,1893,248.480658
155.0,1973,250.216865
80.0,1961,251.956518
210.0,2115,254.032756
200.0,3323,257.362051
275.0,2905,259.953839
400.0,4695,264.135328
135.0,2379,266.542289
235.0,3441,269.83995
445.0,4161,273.483604
230.0,2049,284.941597
25.0,1143,285.960639
160.0,1847,287.64133
140.0,2081,289.479353
185.0,2239,292.087329
320.0,5555,297.024069
160.0,3297,299.912976
250.0,3449,303.291871
50.0,1311,304.69229
395.0,4801,308.953984
360.0,3893,312.368971
300.0,3193,315.487073
255.0,2909,318.384564
175.0,2413,320.553351
175.0,1855,322.196311
230.0,2815,324.718932
80.0,1115,325.734317
535.0,3485,329.477683
250.0,2629,331.865291
130.0,2045,333.68662
60.0,1511,335.004883
335.0,2795,337.466884
165.0,2083,339.562554
90.0,1079,340.817449
165.0,2067,342.701922
150.0,1729,344.228422
335.0,3413,347.271295
70.0,1147,348.27989
160.0,1839,349.945017
235.0,3185,353.337124
320.0,3293,356.311573
80.0,1809,357.90509
30.0,1871,359.582071
205.0,3169,362.430449
350.0,4193,366.675096
150.0,1895,368.315906
255.0,3217,371.210635
360.0,4427,375.134292
180.0,3483,378.837922
210.0,2075,386.308442
230.0,2083,388.390976
185.0,4795,393.065922
110.0,2437,395.212155
165.0,2075,397.053355
255.0,2343,399.133687
235.0,2131,401.405409
330.0,3037,404.268651
270.0,2723,406.636613
255.0,4135,410.309301
145.0,1705,411.806074
385.0,3061,415.159674
275.0,2241,417.178914
180.0,2547,419.450325
225.0,1877,421.120849
120.0,1733,422.664783
240.0,3635,426.42259
185.0,2381,428.549559
105.0,2825,431.083617
245.0,3084,433.828968
95.0,1923,435.559319
220.0,2411,438.136592
220.0,2483,440.488435
155.0,2855,443.026026
305.0,3291,446.013834
110.0,1879,447.710319
260.0,2739,450.726045
280.0,2955,453.348464
210.0,3137,456.123312
245.0,2993,458.762781
180.0,2123,460.627397
255.0,2563,463.425239
220.0,2541,465.665277
190.0,2953,468.261279
325.0,2749,470.683137
125.0,1795,472.253439
120.0,1837,474.155675
175.0,2041,476.224202
270.0,5447,487.763753
220.0,2533,490.00847
260.0,3233,492.890377
235.0,2131,494.756629
105.0,1361,495.95213
345.0,2939,499.016713
145.0,2067,500.921816
270.0,3329,503.847424
165.0,1755,505.384109
425.0,3627,508.59336
105.0,1767,510.479775
280.0,3087,513.463523
140.0,1521,514.78414
165.0,1847,516.415877
195.0,2065,518.229126
175.0,1933,519.925743
80.0,2121,521.965021
250.0,2475,524.549762
165.0,1857,526.202839
300.0,2851,528.818388
110.0,1489,530.12474
260.0,2157,532.042559
125.0,1555,533.490351
305.0,2455,536.200057
135.0,1963,537.931647
180.0,3015,540.652028
170.0,2585,542.975137
290.0,2709,545.397622
365.0,3187,548.731558
150.0,2073,550.54784
135.0,3065,553.233854
160.0,2035,555.044741
300.0,2825,557.517771
185.0,2023,559.816771
180.0,2423,561.991251
315.0,3487,565.019211
210.0,2445,567.253891
225.0,1893,568.901026
155.0,2445,571.513856
245.0,3629,574.811159
200.0,2095,576.667273
150.0,1905,578.332033
280.0,3385,586.276954
55.0,1215,587.356701
385.0,3189,590.147088
390.0,4183,593.780793
150.0,2289,596.381316
160.0,2009,598.158525
235.0,2767,600.595464
335.0,3411,603.582319
265.0,2869,606.078794
250.0,3179,609.503774
250.0,2069,611.328107
295.0,2791,613.816841
240.0,1965,615.520525
190.0,2425,617.626758
220.0,2085,619.76334
210.0,2533,622.249339
160.0,1237,623.33359
180.0,2075,625.143597
295.0,2467,627.376987
480.0,3099,630.087563
220.0,1975,632.193964
120.0,1705,633.854765
225.0,2877,636.418931
205.0,1591,637.804048
110.0,1489,639.094309
120.0,1481,640.39203
270.0,3279,643.433872
125.0,1225,644.863747
335.0,3037,647.58601
245.0,2717,649.977163
200.0,1993,651.743485
130.0,2363,653.815417
530.0,4143,657.961999
265.0,2135,659.823796
80.0,1419,661.074903
175.0,2047,662.863585
150.0,1847,664.458609
145.0,2071,666.250104
330.0,2919,669.332971
130.0,1533,670.698707
225.0,2527,672.949488
75.0,1193,674.016492
380.0,3275,676.868337
185.0,2049,678.650485
250.0,2965,687.686013
175.0,1565,689.02907
190.0,1953,690.73667
455.0,3991,694.776256
170.0,1709,696.268228
245.0,2543,698.461726
85.0,1035,699.346611
220.0,2195,701.249871
190.0,2011,703.014003
380.0,2175,705.470133
315.0,2621,707.801276
645.0,3419,710.84614
165.0,1483,712.132367
340.0,3085,714.822488
115.0,2063,717.0284
230.0,2355,719.264794
155.0,3163,722.034984
290.0,2931,724.567557
350.0,3161,727.354124
275.0,2685,730.271905
60.0,1987,732.04217
305.0,3505,735.130839
655.0,4129,738.808888
375.0,3643,742.589716
555.0,2758,745.081038
560.0,3939,748.643754
160.0,1809,750.229846
265.0,2689,752.792618
105.0,1551,754.465128
255.0,2439,756.596945
200.0,2055,758.375891
390.0,3411,761.397813
365.0,2989,764.004838
295.0,2867,767.069216
130.0,1927,768.771767
275.0,3245,771.629351
195.0,2089,773.467409
330.0,4331,777.775162
320.0,3627,787.950115
345.0,3453,791.538946
80.0,1177,792.561636
380.0,3509,795.697272
200.0,2495,797.915692
425.0,2859,800.450708
145.0,1665,802.385695
230.0,1811,804.033305
30.0,1303,805.216388
175.0,2169,807.211345
200.0,1935,808.909598
305.0,3037,811.612529
165.0,1995,813.674911
225.0,2013,815.708873
125.0,1813,817.316048
285.0,2285,819.350966
375.0,3863,822.738708
525.0,4891,827.601827
145.0,2119,829.485295
335.0,3343,832.439869
145.0,1441,833.70595
285.0,2635,836.055601
190.0,2035,838.301648
155.0,2081,840.483217
260.0,3135,843.337934
205.0,2001,845.137796
350.0,3159,847.93693
190.0,2553,850.571775
315.0,3295,853.704337
575.0,3990,857.309386
810.0,7061,864.048317
185.0,1805,865.64015
125.0,2115,867.56337
410.0,2507,869.792886
375.0,3535,872.912353
355.0,3983,876.946363
305.0,3057,879.662396
330.0,3703,891.444367
275.0,2445,893.634763
310.0,3083,896.353322
185.0,2007,898.344398
225.0,3145,901.516034
100.0,1643,902.998613
250.0,2731,905.430762
425.0,3267,908.35414
130.0,2099,910.388908
505.0,2541,913.041785
65.0,1143,914.065723
235.0,2623,916.404354
340.0,1983,918.203885
230.0,2355,920.312565
